replicate,regime,policy,expected_total_cost,task_success_rate,incorrect_action_rate,clarification_frequency
0,calibrated,always_act,1.9295,0.6141,0.3859,0.0
0,calibrated,always_ask,1.0,1.0,0.0,1.0
0,calibrated,threshold,0.9625,0.984,0.016,0.8825
0,overconfident,always_act,1.9295,0.6141,0.3859,0.0
0,overconfident,always_ask,1.0,1.0,0.0,1.0
0,overconfident,threshold,1.1354,0.8847,0.1153,0.5589
0,underconfident,always_act,1.9295,0.6141,0.3859,0.0
0,underconfident,always_ask,1.0,1.0,0.0,1.0
0,underconfident,threshold,0.9984,0.9996,0.0004,0.9964
0,noisy,always_act,2.1075,0.5785,0.4215,0.0
0,noisy,always_ask,1.0,1.0,0.0,1.0
0,noisy,threshold,1.009,0.9645,0.0355,0.8315
1,calibrated,always_act,1.914,0.6172,0.3828,0.0
1,calibrated,always_ask,1.0,1.0,0.0,1.0
1,calibrated,threshold,0.957,0.9853,0.0147,0.8835
1,overconfident,always_act,1.914,0.6172,0.3828,0.0
1,overconfident,always_ask,1.0,1.0,0.0,1.0
1,overconfident,threshold,1.1019,0.8925,0.1075,0.5644
1,underconfident,always_act,1.914,0.6172,0.3828,0.0
1,underconfident,always_ask,1.0,1.0,0.0,1.0
1,underconfident,threshold,0.9966,1.0,0.0,0.9966
1,noisy,always_act,2.0825,0.5835,0.4165,0.0
1,noisy,always_ask,1.0,1.0,0.0,1.0
1,noisy,threshold,1.0064,0.9656,0.0344,0.8344
2,calibrated,always_act,1.9165,0.6167,0.3833,0.0
2,calibrated,always_ask,1.0,1.0,0.0,1.0
2,calibrated,threshold,0.9448,0.9861,0.0139,0.8753
2,overconfident,always_act,1.9165,0.6167,0.3833,0.0
2,overconfident,always_ask,1.0,1.0,0.0,1.0
2,overconfident,threshold,1.1113,0.8881,0.1119,0.5518
2,underconfident,always_act,1.9165,0.6167,0.3833,0.0
2,underconfident,always_ask,1.0,1.0,0.0,1.0
2,underconfident,threshold,0.9962,1.0,0.0,0.9962
2,noisy,always_act,2.082,0.5836,0.4164,0.0
2,noisy,always_ask,1.0,1.0,0.0,1.0
2,noisy,threshold,1.0016,0.9661,0.0339,0.8321
3,calibrated,always_act,1.9525,0.6095,0.3905,0.0
3,calibrated,always_ask,1.0,1.0,0.0,1.0
3,calibrated,threshold,0.9575,0.984,0.016,0.8775
